# BEAST v1.9.0pre20161204 Prerelease #5657174
# Generated Tue Feb 21 14:19:07 GMT 2017 [seed=666]
# -seed 666 -beagle_cuda -beagle_double -beagle_order 1 -threshold 0.1 metazoan.xml
state	posterior	prior	likelihood	treeModel.rootHeight	yule.birthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	speciation
695000	-854102.9996789102	-187.21953365510365	-853915.7801452552	0.33106951030765824	7.244525552137834	0.4855323418336193	1.0	1.0	-853915.7801452552	0.0	43.31689314740822
700000	-854097.4990979725	-186.65285890665444	-853910.8462390659	0.33165329826088574	5.820436845009409	0.48153530567179453	1.0	1.0	-853910.8462390659	0.0	43.8755738235338
705000	-854097.9112142299	-186.54259574394354	-853911.368618486	0.33328067188639754	6.232307987834801	0.4853865157740748	1.0	1.0	-853911.368618486	0.0	43.99353940644926
710000	-854100.9509433303	-186.71954250947817	-853914.2314008208	0.3293782277371462	5.44641723912264	0.4800973004405455	1.0	1.0	-853914.2314008208	0.0	43.80601421024756
715000	-854096.8820906935	-186.7836934140371	-853910.0983972794	0.32963906676782956	5.513244826054756	0.4896823540973933	1.0	1.0	-853910.0983972794	0.0	43.76103341300234
720000	-854105.4164581919	-190.2893093872918	-853915.1271488046	0.3319650377055705	4.121173819398045	0.48310646241462357	1.0	1.0	-853915.1271488046	0.0	40.242265656382074
725000	-854100.6818247507	-186.96647144614712	-853913.7153533046	0.33317958527478286	6.790842668343621	0.4822646599909606	1.0	1.0	-853913.7153533046	0.0	43.56341999267942
730000	-854091.3630161027	-186.43680398872897	-853904.9262121139	0.3322991115231339	6.197466320063668	0.4881784633782721	1.0	1.0	-853904.9262121139	0.0	44.1049150568722
735000	-854097.6746059817	-187.49902808726586	-853910.1755778944	0.3295768819537142	4.9738752868362015	0.4821660535339106	1.0	1.0	-853910.1755778944	0.0	43.0306661386466
740000	-854099.2646592394	-186.54290059778089	-853912.7217586417	0.32907464704082273	6.75445300574857	0.4821660535339106	1.0	1.0	-853912.7217586417	0.0	43.98679362813159
745000	-854105.7941974883	-186.53492894752193	-853919.2592685408	0.330880400000334	6.104471833537144	0.47971867368790133	1.0	1.0	-853919.2592685408	0.0	43.98987051869849
750000	-854104.2714955929	-186.885082358184	-853917.3864132348	0.33478743379230697	6.829832438858244	0.48821804314836914	1.0	1.0	-853917.3864132348	0.0	43.656715846957354
755000	-854101.1849232469	-187.18805316706977	-853913.9968700798	0.33027550156514046	7.066880251484973	0.48112044022186157	1.0	1.0	-853913.9968700798	0.0	43.33954983221858
760000	-854101.056443564	-186.60582422036057	-853914.4506193437	0.3296980704668975	6.678171777897434	0.4814584502907903	1.0	1.0	-853914.4506193437	0.0	43.92245479906563
